ID,Image,Command,CreatedAt,RunningFor,Ports,Status,Size,Names,Labels,Mounts
"276a654d0da2","grahamc/jekyll","jekyll build --watch","2016-09-13 15:51:50 +0200 CEST","43 seconds","4000/tcp","Up 42 seconds","0 B","jekyllbootstrap3_jekyll_1","com.docker.compose.version=1.8.0,com.docker.compose.config-hash=2addfcd128817b6b7384a98a570255571259648cbf5474736111cd5db65dadab,com.docker.compose.container-number=1,com.docker.compose.oneoff=False,com.docker.compose.project=jekyllbootstrap3,com.docker.compose.service=jekyll","4ba827f1eca59e4"
"31153cb7e105","nginx","nginx -g 'daemon off","2016-09-13 15:51:50 +0200 CEST","43 seconds","443/tcp, 0.0.0.0:8080->80/tcp","Up 42 seconds","0 B","jekyllbootstrap3_nginx_1","com.docker.compose.project=jekyllbootstrap3,com.docker.compose.service=nginx,com.docker.compose.version=1.8.0,com.docker.compose.config-hash=3b7ee14f811a13c87dd19843a3d782557e6297a163ea155449a30c93ca8d7342,com.docker.compose.container-number=1,com.docker.compose.oneoff=False","/Users/damo_ma/"
